Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
4567,44,1.0,36.8476300590569,19.094182475639247,5.0,5,9.0,1970,0.036122292,B,B,24,4378,0,1036.0,1,1,B
5925,62,1.0,42.493907212165105,42.56813259970031,10.0,7,17.0,2017,0.072157581,B,B,2,629,1,,0,0,A
960,27,2.0,59.46367829288154,,9.0,19,19.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
3848,23,3.0,49.64602982741851,33.89382537068284,6.0,2,2.0,1965,0.014072961,B,B,2,475,0,,0,0,B
746,74,1.0,53.83705552291424,,1.0,8,17.0,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B
868,38,3.0,87.13999445192246,53.18041881361226,10.0,4,23.0,2011,0.060753049,B,B,15,2787,2,520.0,0,7,B
672,62,1.0,46.269455626479186,22.82023936961452,11.0,8,17.0,2014,0.072157581,B,B,2,629,1,,0,0,A
2471,2,2.0,48.172968708932885,29.9242044182394,6.0,4,9.0,1974,0.0,B,B,33,7425,1,,2,5,B
4510,1,1.0,43.15376113882693,21.017595539577567,9.0,10,17.0,2014,0.007122317,B,B,1,264,0,,0,1,B
8354,62,2.0,62.5937866412943,59.78684445263104,10.0,1,16.0,1981,0.002211665,B,B,39,7614,3,,1,5,A
6393,8,1.0,41.49650853339136,21.66420918533763,7.0,4,17.0,2009,0.43788524,B,B,23,5735,3,1084.0,0,5,B
13270,9,3.0,80.59947151905445,,1.0,4,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
5250,96,4.0,87.77638168144794,54.620539994927256,10.0,25,24.0,2014,0.041116354,B,B,53,14892,4,,1,4,B
16751,74,1.0,54.6141699426221,,1.0,8,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
11404,27,1.0,44.41551017635499,,1.0,14,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
10588,113,2.0,71.82875388902875,35.714191403901594,10.0,6,22.0,2004,0.050755569,B,B,24,5469,1,145.0,0,1,B
14925,22,2.0,61.41358310533283,,1.0,13,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
6791,1,3.0,72.02327542455551,2.470855692268123,1.0,4,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
16097,57,1.0,44.323796217038144,19.876484711283165,12.0,4,16.0,2007,0.13321533300000002,B,B,49,11395,3,1406.0,3,4,A
16428,170,3.0,77.0287905358431,47.07690066782445,10.0,13,17.0,1990,0.21843974,B,B,21,4472,6,1450.0,4,7,A
6945,53,3.0,85.18661187100972,,11.0,11,12.0,2017,0.049637257,B,B,34,7759,0,229.0,1,3,B
3190,9,2.0,64.86239597220232,,1.0,7,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
15709,48,3.0,86.48993470329461,86.16502319357315,1.0,24,1.0,2015,0.041124634,B,B,46,9515,5,,1,10,B
13155,41,2.0,48.4407146464437,32.13878070944986,6.0,4,9.0,1979,0.394094211,B,B,3,662,0,35.0,0,0,B
7675,47,2.0,47.095613961794385,31.202991963747028,8.0,10,12.0,1970,0.298204575,B,B,16,4048,3,,1,3,B
14686,1,3.0,77.22988533763153,79.95868472952998,1.0,18,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
609,9,2.0,43.255853827147455,30.80462712594298,5.0,6,5.0,1972,0.161531741,B,B,25,5648,1,30.0,2,4,B
11155,150,2.0,43.569924463619735,30.140515383990504,5.0,4,5.0,1965,0.08761909,B,B,8,1497,5,,1,0,B
10869,23,3.0,78.00188787116683,82.56632217843081,1.0,21,25.0,2015,0.075778755,B,B,6,1437,3,,0,2,B
15742,30,2.0,64.88878321604794,,1.0,12,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
9245,1,2.0,63.115040972639896,,0.0,4,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3340,27,3.0,69.92193904856693,3.986052519691084,1.0,9,17.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
2359,53,2.0,60.73449830521805,42.793560850180576,10.0,17,24.0,2020,0.049637257,B,B,34,7759,0,229.0,1,3,B
8070,38,2.0,40.2169312091974,26.782434878219465,7.0,8,9.0,1964,0.060753049,B,B,15,2787,2,520.0,0,7,B
13707,1,1.0,42.44688260400803,19.846674850833782,7.0,2,17.0,2015,0.007122317,B,B,1,264,0,,0,1,B
16079,11,4.0,70.4699405505211,44.73090601596763,6.0,6,9.0,1970,0.00016967599999999998,B,B,36,5992,0,,1,1,B
15937,9,4.0,92.1582517146398,54.1686158873239,12.0,4,14.0,1997,0.161531741,B,B,25,5648,1,30.0,2,4,B
14090,2,1.0,39.082640640993155,33.214357690911484,7.0,10,14.0,1970,0.0,B,B,33,7425,1,,2,5,B
9008,72,2.0,47.670985525971524,44.1724503554511,5.0,5,9.0,1980,0.210473241,B,B,11,2398,2,1994.0,3,0,B
16384,1,2.0,52.773671063301144,52.91072182441317,10.0,6,17.0,2017,0.007122317,B,B,1,264,0,,0,1,B
11657,87,3.0,65.75474956064608,48.44900249639893,6.0,12,12.0,1980,0.100455735,B,B,43,7227,0,,1,6,A
13151,25,1.0,29.249107775366486,,0.0,22,25.0,2016,0.069753361,B,B,53,13670,4,,1,11,B
8990,27,3.0,58.848188192175634,40.41200607153679,6.0,11,9.0,1988,0.211401214,B,B,9,1892,0,,0,1,B
11857,11,2.0,46.5892195156833,31.05090245938393,5.0,5,5.0,1968,0.00016967599999999998,B,B,36,5992,0,,1,1,B
1565,52,1.0,38.92815373297433,20.337597962990294,8.0,4,17.0,1994,0.371148999,B,B,34,7065,1,750.0,2,5,B
8174,23,1.0,46.88683597148046,,0.0,3,3.0,2016,0.034656082000000005,B,B,0,168,0,,0,0,B
9247,67,3.0,65.0196467536,41.287476354713625,7.0,10,9.0,1979,0.100455735,B,B,43,7227,0,,1,6,A
10478,6,3.0,80.9861042067384,77.53481112705556,1.0,10,1.0,2013,0.243204519,B,B,5,1564,0,540.0,0,0,B
15509,27,2.0,55.43986118530975,57.52724313175271,10.0,15,17.0,2016,0.011654127,B,B,4,915,0,,0,0,B
8306,179,2.0,45.597507428135344,32.130045100932804,5.0,6,5.0,1967,0.037316452,B,B,32,6748,93,562.0,4,10,B
6642,1,2.0,56.89047833586052,,1.0,12,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
7472,31,2.0,44.2795413959844,29.604193752132,5.0,7,5.0,1960,0.151346216,B,A,32,5889,10,830.0,4,1,B
15989,62,1.0,47.095405501415,,0.0,4,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
13682,27,1.0,41.34565024439386,17.38476844941001,8.0,14,14.0,2007,0.07542368,B,B,11,3097,0,,0,0,B
163,62,3.0,135.25082847524365,,1.0,1,3.0,2018,0.072157581,B,B,2,629,1,,0,0,A
7076,27,2.0,76.73464350633769,,1.0,3,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
7478,167,3.0,67.68259884924791,43.62235897925621,4.0,4,4.0,1949,0.174739084,B,B,17,3379,9,100.0,0,3,B
3029,13,1.0,43.57357629518538,22.22113089969779,8.0,11,18.0,2000,0.090799103,B,B,74,19083,2,,5,15,B
1814,1,1.0,41.11560894052037,41.17146392419938,0.0,4,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
10057,27,1.0,42.916845872695546,21.093891122528827,6.0,10,15.0,2018,0.072157581,B,B,2,629,1,,0,0,A
15100,23,3.0,78.98223923932066,,1.0,4,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
12694,27,3.0,83.67003174601149,46.35835603454894,0.0,8,0.0,2015,0.072157581,B,B,2,629,1,,0,0,A
6291,78,1.0,40.539829225184405,22.9477122496941,6.0,7,17.0,2002,0.092290642,B,B,21,4346,2,165.0,1,2,B
12603,27,3.0,87.11106179723497,52.263326325483405,17.0,2,3.0,2014,0.011654127,B,B,4,915,0,,0,0,B
3218,38,1.0,47.9813246694989,,1.0,8,17.0,2015,0.060753049,B,B,15,2787,2,520.0,0,7,B
13456,6,1.0,38.90624910827649,22.77818604424768,6.0,9,17.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
10170,48,2.0,47.863789962737634,33.84667883716051,6.0,12,12.0,1982,0.041124634,B,B,46,9515,5,,1,10,B
4530,23,2.0,92.18193950554456,49.502352037568635,15.0,3,25.0,2013,0.075778755,B,B,6,1437,3,,0,2,B
13329,23,2.0,68.09953793820145,64.84302502745639,1.0,2,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
4820,22,1.0,42.35996399073461,,1.0,7,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
10896,21,2.0,44.835016139438665,30.72815667426836,5.0,3,5.0,1963,0.034331497,B,B,25,5487,3,,0,4,B
13416,27,1.0,35.54463363125278,33.03433558652774,1.0,11,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
2701,29,3.0,61.04126877093078,45.71091012786398,5.0,3,5.0,1965,0.069660344,B,B,31,6119,4,,1,2,B
11265,34,3.0,83.82724048818885,80.53799625700981,10.0,24,25.0,2015,0.069753361,B,B,53,13670,4,,1,11,B
9189,169,3.0,61.83123391062148,44.143243804729615,5.0,9,9.0,1977,0.300322518,B,B,52,10311,6,,1,9,B
